tractid00,totalpop,households,pcthhchild,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,pctunits_newres
"25025060300",3077,1505,22.46,14.15,12.77,42.61168,34.86,5.32,3.19,5.19,3.99,3.66,3.46,2.2,2.73,3.39,8.05,13.11,15.24,10.65,7.92,11.98,69670,2.89,1,1616,42.46,57.54,6.87,314668,5.16,12.56,11.38,19.25,20.19,12.09,14.32,5.16,1013,30.33,20.799999,34.52,0,64.32,37.48
"25025060400",4946,2332,20.14,14.7,11.31,42.53815,32.53,6.84,3.46,3.51,3.98,5,6.12,2.78,3.59,4.49,9.45,10.61,13,8.25,6.54,12.36,60148,4.94,1.41,2448,39.32,60.68,4.74,319538,8.31,13.63,11.22,19.61,16.98,11.73,14.8,3.72,978,32.67,23.700001,25.06,3.58,59.27,31.95
"25025060500",3326,1594,19.77,12,13.84,30.1119,29.02,4.89,2.54,2.74,3.85,3.85,3.26,3.91,3.65,3.91,9.39,14.15,15.91,11.28,7.95,8.809999,67783,6.72,.78,1728,32.87,67.13,7.75,314938,1.37,9.58,9.58,22.58,24.34,15.15,12.02,5.38,1050,28.71,20.6,45.03,0,57.95,37.64
"25025060600",1401,707,11.76,11.08,21.78,51.84713,43.67,7.26,3.26,1.33,1.78,2.22,2.67,3.26,2.81,3.26,8.89,8.89,18.07,13.48,9.04,13.63,80111,0,0,765,42.57,57.43,7.58,219023,11.2,14.32,10.94,8.33,9.38,13.02,20.83,11.72,1218,36.19,25.9,4.85,0,36.13,44.22
"25025060700",1384,477,42.9,2.84,3.1,7.235142,3.29,23.5,11.65,10.53,8.08,8.08,8.46,5.08,4.14,3.57,8.27,3.01,.75,2.82,2.07,0,23072,43.92,19.55,482,.21,99.79,1.04,0,45.38,30.12,14.26,5.22,3.21,1.2,.6,0,350,31.92,23.700001,,,67.2,31.12
"25025060800",3726,1725,24.1,11.42,11.23,35.09749,25.77,10.11,4.89,3.86,3.47,3.75,4.2,2.33,4.03,5.11,8.12,5.85,15.74,11.08,6.93,10.57,58695,7.35,4.55,1887,41.04,58.96,8.59,255143,5.42,8.62,7.07,14.23,23.23,19.07,15.59,6.78,1153,34.71,25.799999,13.1,4.76,56.11,42.41
"25025061000",3064,1327,36.23,6.54,13.91,24.23313,13.3,27.25,13.1,10.03,6.21,4.12,2.17,3.59,2.77,2.32,4.72,6.21,8.23,3.59,2.02,3.82,19538,51.62,15.79,1375,16.43,83.57,3.49,249597,41.29,25.43,10.76,6.84,7.84,5.2,2.64,0,356,38.42,26.799999,7.89,6.58,55.78,49.14
"25025061100",2046,940,35.32,6.46,17.49,14.06844,9.2,30.01,14.53,11.35,8.59,5.94,2.97,7.32,3.71,1.91,6.04,2.01,.74,1.59,1.06,2.33,16964,50.62,12.09,1044,1.17,98.83,9.96,372028,56.12,27.95,7.69,2.38,1.95,1.84,1.41,.54,246,30.18,23.6,,,50.79,53.76
"25025061200",1905,967,19.01,11.14,13.24,34.28571,27.29,10.8,4.98,3.12,3.53,3.84,4.05,4.57,6.44,6.75,8.52,10.49,13.4,8.1,5.19,6.23,52000,12.83,.42,1081,34.33,65.67,10.55,207389,7.62,12.38,10.16,17.78,21.11,15.24,10.63,4.76,1015,44.74,29.4,19.3,4.39,55.5,40.23
"25025070100",3181,1418,6.86,12.49,11.17,46.06907,36.66,20.31,10.73,12.42,6.07,4.12,3.24,2.7,3.85,4.18,3.71,4.99,6.68,4.05,3.64,9.379999,24665,20.32,5.53,1557,26.45,73.55,8.93,396243,24.52,16.98,8.4,7.25,17.75,12.02,7.16,6.01,800,55.79,34.299999,,,34.78,44.73
