"Area Name-Legal/Statistical Area Description"	"Qualifying Name"	"FIPS"	"Summary Level"	"Geographic Component"	"State (Census)"	"State (FIPS)"	"County"	"County Size Code"	"County Subdivision (FIPS)"	"Census Tract"	"Male Population"	"Male Population: Below poverty level"	"Male Population: At or above poverty level"	"Female Population"	"Female Population: Below poverty level"	"Female Population: At or above poverty level"	"% Male Population: Below poverty level"	"% Male Population: At or above poverty level"	"% Female Population: Below poverty level"	"% Female Population: At or above poverty level"
Geo_NAME	Geo_QName	Geo_FIPS	Geo_SUMLEV	Geo_GEOCOMP	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUNTYSC	Geo_COUSUB	Geo_TRACT	SE_T183_001	SE_T183_002	SE_T183_003	SE_T183_004	SE_T183_005	SE_T183_006	PCT_SE_T183_002	PCT_SE_T183_003	PCT_SE_T183_005	PCT_SE_T183_006
"Census Tract 1106.02"	"Census Tract 1106.02, Suffolk County, Massachusetts"	"25025110602"	"140"	"00"	"14"	"25"	"025"	"20"	""	"110602"	2289	48	2241	2683	110	2573	2.1	97.9	4.1	95.9
"Census Tract 1201.01"	"Census Tract 1201.01, Suffolk County, Massachusetts"	"25025120101"	"140"	"00"	"14"	"25"	"025"	"20"	""	"120101"	931	113	818	1412	209	1203	12.14	87.86	14.8	85.2
"Census Tract 1201.02"	"Census Tract 1201.02, Suffolk County, Massachusetts"	"25025120102"	"140"	"00"	"14"	"25"	"025"	"20"	""	"120102"	1551	32	1519	1936	150	1786	2.06	97.94	7.75	92.25
"Census Tract 1202"	"Census Tract 1202, Suffolk County, Massachusetts"	"25025120200"	"140"	"00"	"14"	"25"	"025"	"20"	""	"120200"	1638	210	1428	1785	314	1471	12.82	87.18	17.59	82.41
"Census Tract 1203"	"Census Tract 1203, Suffolk County, Massachusetts"	"25025120300"	"140"	"00"	"14"	"25"	"025"	"20"	""	"120300"	2130	424	1706	2381	609	1772	19.91	80.09	25.58	74.42
"Census Tract 1204"	"Census Tract 1204, Suffolk County, Massachusetts"	"25025120400"	"140"	"00"	"14"	"25"	"025"	"20"	""	"120400"	2528	214	2314	2892	308	2584	8.47	91.53	10.65	89.35
"Census Tract 1205"	"Census Tract 1205, Suffolk County, Massachusetts"	"25025120500"	"140"	"00"	"14"	"25"	"025"	"20"	""	"120500"	1261	217	1044	1280	224	1056	17.21	82.79	17.5	82.5
"Census Tract 1206"	"Census Tract 1206, Suffolk County, Massachusetts"	"25025120600"	"140"	"00"	"14"	"25"	"025"	"20"	""	"120600"	1135	195	940	1280	227	1053	17.18	82.82	17.73	82.27
"Census Tract 1207"	"Census Tract 1207, Suffolk County, Massachusetts"	"25025120700"	"140"	"00"	"14"	"25"	"025"	"20"	""	"120700"	987	177	810	1031	170	861	17.93	82.07	16.49	83.51
"Census Tract 1301"	"Census Tract 1301, Suffolk County, Massachusetts"	"25025130100"	"140"	"00"	"14"	"25"	"025"	"20"	""	"130100"	2224	95	2129	2530	132	2398	4.27	95.73	5.22	94.78
"Census Tract 1302"	"Census Tract 1302, Suffolk County, Massachusetts"	"25025130200"	"140"	"00"	"14"	"25"	"025"	"20"	""	"130200"	2116	60	2056	2499	79	2420	2.84	97.16	3.16	96.84
"Census Tract 1303"	"Census Tract 1303, Suffolk County, Massachusetts"	"25025130300"	"140"	"00"	"14"	"25"	"025"	"20"	""	"130300"	1990	44	1946	2338	102	2236	2.21	97.79	4.36	95.64
"Census Tract 1304.01"	"Census Tract 1304.01, Suffolk County, Massachusetts"	"25025130401"	"140"	"00"	"14"	"25"	"025"	"20"	""	"130401"	3283	418	2865	4044	644	3400	12.73	87.27	15.92	84.08
"Census Tract 1304.02"	"Census Tract 1304.02, Suffolk County, Massachusetts"	"25025130402"	"140"	"00"	"14"	"25"	"025"	"20"	""	"130402"	2094	64	2030	2376	90	2286	3.06	96.94	3.79	96.21
"Census Tract 1401.02"	"Census Tract 1401.02, Suffolk County, Massachusetts"	"25025140102"	"140"	"00"	"14"	"25"	"025"	"20"	""	"140102"	2019	127	1892	2105	179	1926	6.29	93.71	8.5	91.5
"Census Tract 1401.03"	"Census Tract 1401.03, Suffolk County, Massachusetts"	"25025140103"	"140"	"00"	"14"	"25"	"025"	"20"	""	"140103"	1642	133	1509	1954	226	1728	8.1	91.9	11.57	88.43
"Census Tract 1401.04"	"Census Tract 1401.04, Suffolk County, Massachusetts"	"25025140104"	"140"	"00"	"14"	"25"	"025"	"20"	""	"140104"	2336	526	1810	2658	616	2042	22.52	77.48	23.18	76.82
"Census Tract 1402.01"	"Census Tract 1402.01, Suffolk County, Massachusetts"	"25025140201"	"140"	"00"	"14"	"25"	"025"	"20"	""	"140201"	968	62	906	1054	107	947	6.4	93.6	10.15	89.85
