tractid00,totalpop,households,pcthhchild,pctind_info,pctind_finance,pctind_professional,pctocc_profmanage,pctcollege,pctinc_0_10K,pctinc_10K_15K,pctinc_15K_20K,pctinc_20K_25K,pctinc_25K_30K,pctinc_30K_35K,pctinc_35K_40K,pctinc_40K_45K,pctinc_45K_50K,pctinc_50K_60K,pctinc_60K_75K,pctinc_75K_100K,pctinc_100K_125K,pctinc_125K_150K,pctinc_150K_more,medhhincome,pctpoverty,pctpublicassist,units,pctown,pctrent,pctvacant,medianvalue,pctrent_0_300,pctrent_300_600,pctrent_600_800,pctrent_800_1000,pctrent_1000_1250,pctrent_1250_1500,pctrent_1500_2000,pctrent_2000_more,medianrent,pctincomerent_30_more,medianpctincomerent,pctinc_mortgage_30_more,pctinc_nomortgage_30_more,pctsameres,PCT_B25026003,pctunits_newres_2005,pctunits_newres_2000
"250171100011000353500",2759,1340,22.16,4.9,13.39,24.02,62.52,70.38,7.31,5.75,8.88,3.13,6.57,4.03,2.69,1.27,5.15,8.96,8.43,12.99,6.34,5,13.51,57273,17.36288,95.97,1458,32.01,67.99,8.09,593800,9.32,3.66,4.77,14.54,10.32,13.32,19.87,24.2,1389,46.76,29.6,47.67,26.56,79.24,7.76,43.31279,74.01232
"250171100011000353600",5071,1867,11.09,2.94,4.67,16.59,77.31,92.82,18.21,4.87,5.09,3.21,3.7,1.77,2.14,4.07,.75,6.43,9.69,10.34,5.25,7.61,16.87,59744,21.61281,99.25,1995,35.57,64.43,6.42,854600,1.17,7.4,13,7.31,13.45,21.3,27.26,9.12,1340,53.86,43.799999,34.85,12.69,47.75,6.37,44.44115,70.17492
"250171100011000353700",5376,1968,9.81,5.3,3.98,18.82,72.39,81.64,17.23,6.81,2.54,2.85,2.24,1.98,2.24,3.86,5.59,8.38,8.18,15.09,7.16,6.81,9.049999,53464,26.51919,100,2191,29.27,70.73,10.18,608000,0,2.28,2.43,8.01,17.28,30.07,24.34,15.59,1416,64.8,41.599998,35.22,15.69,54.83,5.89,44.11111,64.80556
"250171100011000353800",4771,2842,10.31,1.4,5.46,25.67,84.21,91.41,4.19,1.76,6.26,4.19,3.48,.88,4.08,2.39,.6,6.62,8.59,21.29,15.27,6.72,13.69,81089,10.85726,99.51,3231,34.24,65.76,12.04,453600,0,.82,4.74,3.59,4.19,25.75,42.73,18.18,1628,42.59,27.799999,33.09,9.7,65.45,6.31,48.64808,76.98595
"250171100011000353900",3191,1342,13.26,4.72,2.13,12.4,74.36,87.02,21.54,7.75,4.69,12.74,2.61,2.31,4.77,5.22,5.66,7,3.8,5.74,4.4,3.5,8.27,32609,26.66088,99.4,1419,14.98,85.02,5.43,491700,3.73,5.45,1.73,2.73,6.91,44.36,25.82,9.27,1416,63.46,50,41.52,70,64.83,3.3,55.36257,90.40382
"250171100011000354000",3991,2139,9.96,4.17,7.47,23.45,79.85001,94.78,15.99,4.3,2.2,3.41,1.92,3.83,4.44,4.02,3.13,6.59,11.45,8.13,6.12,1.08,23.37,60273,15.62241,98.78,2403,36.56,63.44,10.99,607400,1.94,.86,0,3.58,24.81,23.95,25.97,18.9,1446,62.12,40,44.46,11.76,71.88,8.45,45.26635,64.42175
"250171100011000354100",3392,1718,7.86,3.24,7.51,22.02,73.2,88.19,11.29,1.4,7.22,.7,1.8,1.86,2.1,4.31,2.62,8.85,17.93,3.73,3.67,5.88,26.66,65873,14.38053,100,1912,49.59,50.41,10.15,932600,1.52,3.74,6.43,1.17,18.71,18.6,43.39,6.43,1498,48.04,30.700001,44.61,16.62,69.04,8.91,45.25917,58.24905
"250171100011000354200",3581,1501,24.45,3.59,9.06,23.15,80.28,87.56,2.8,4.46,1.4,3.6,.8,.8,4.46,4.66,3.33,3.6,7.79,5.06,9.06,8.99,39.17,119215,10.47194,100,1595,77.55,22.45,5.89,1000001,4.3,0,3.64,6.95,4.97,15.89,34.11,30.13,1709,58.76,40,35.17,17,87.25,7.74,17.45323,33.59397
"250171100011000354300",3728,1692,26.18,2.74,8.07,19.03,66.41,64.55,4.91,1.65,6.91,9.52,1.65,1.12,3.66,3.66,1.89,5.02,9.34,13.77,14.24,9.34,13.3,76146,6.437768,99.05,1799,43.56,56.44,5.95,498200,1.13,10.48,4.62,4.51,13.53,9.36,27.06,29.31,1618,40.52,26.299999,47.79,0,87.38,4.83,27.44099,49.65129
"250171100011000354400",1575,782,24.3,5.85,9.86,18.58,65.6,81.73,1.53,1.41,0,4.22,3.2,1.02,2.56,4.48,0,13.04,5.37,13.81,20.97,4.35,24.05,96364,.7619048,100,934,57.67,42.33,16.27,663500,0,0,0,11.44,26.47,4.25,36.6,21.24,1607,28.7,25.9,45.85,12,87.62,3.49,19.61905,45.52381
"250171100011000354500",2794,1441,15.89,2.61,9.19,23.59,81.19,88.12,3.12,4.3,6.32,1.39,6.45,0,3.61,2.71,4.44,2.01,9.23,13.81,5,11.17,26.44,91080,5.726557,99.51,1510,43.79,56.21,4.57,1000001,1.54,10.13,4.1,2.82,8.85,23.08,32.05,17.44,1494,44.69,29.200001,38.3,7.69,76.49,7.3,34.1446,60.7015
"250171100011000354600",4922,2094,28.41,2.07,9.79,17.63,62.63,59.53,6.54,7.78,4.97,1.62,2.15,3.63,6.83,0,6.16,6.49,10.08,10.22,12.13,5.44,15.96,65895,18.42163,96.8,2229,29.56,70.44,6.06,646700,5.61,11.5,6.72,15.17,8.52,13.09,29.71,9.7,1298,40,25.4,37.53,47.47,81.99,4.45,28.88598,58.7966
"250171100011000354700",2838,1377,17.86,9.73,8.15,21.36,80,75.97,3.7,1.6,.73,3.49,3.78,2.98,1.6,3.34,3.27,4.14,10.09,21.5,10.53,5.3,23.97,88990,5.461593,99.2,1410,52.51,47.49,2.34,654800,4.28,2.14,3.36,4.13,11.16,14.68,22.48,37.77,1728,45.72,28,28.42,34.73,71.68,14.62,38.93587,67.61804
