"tractid","year","totalpop","households","pcthhchild","pctind_finance","pctind_professional","pctocc_profmanage","pctcollege","pctinc_0_10K","pctinc_10K_15K","pctinc_15K_20K","pctinc_20K_25K","pctinc_25K_30K","pctinc_30K_35K","pctinc_35K_40K","pctinc_40K_45K","pctinc_45K_50K","pctinc_50K_60K","pctinc_60K_75K","pctinc_75K_100K","pctinc_100K_125K","pctinc_125K_150K","pctinc_150K_more","medhhincome","pctpoverty","pctpublicassist","units","pctown","pctrent","pctvacant","medianvalue","pctrent_0_300","pctrent_300_600","medianrent","pctincomerent_30_more","medianpctincomerent","pctinc_mortgage_30_more","pctinc_nomortgage_30_more","pctsameres","pctrent_600_800","pctrent_800_1000","pctrent_1000_1250","pctrent_1250_1500","pctrent_1500_2000","pctrent_2000_more","pctind_info","pctunits_newres_2000","pctunits_newres","pctrent_600_750","pctrent_750_1000","pctrent_1000_more","pctunits_newres_2005","pctunits_newres_2010"
25017316300,1990,6543,2377,33.66,4.04,22.97,32.55,24.1,2.49,2.8,2.71,1.93,1.94,2.8,2.15,3.4,4.52,7.91,12.63,17.06,15.21,8.77,13.75,79656,4.11,5.54,2502,68.72,31.28,5.2,266822,1.48,2.16,1344,42.05,28.200001,25.92,3.9,60.47,,,,,,,,,53.84,2.29,3.91,90.16,,
25017316400,1990,5893,1570,33.94,4.38,19.37,24.16,13.7,0.84,1.16,1.36,1.75,0.78,1.49,1.42,1.1,1.88,6.61,12.38,24.17,17.37,12.83,14.97,94233,2.33,4.34,1607,92.55,7.45,2.3,277695,0,1.71,1606,28.2,25.9,17.35,2.98,61.26,,,,,,,,,33,3.42,5.98,89.74,,
25017316500,1990,5882,1928,34.85,6.36,25.05,31.88,23.85,1.9,3.35,2.83,1.13,2.01,3.44,3.24,2.47,2.36,6.42,6.74,21.34,16.5,11.41,14.91,92027,2.02,1.59,1990,71.16,28.84,3.12,290528,4.68,6.29,1237,27.52,23.299999,17.23,3.31,66.35,,,,,,,,,39.32,6.12,10.25,69.24,,
25017317100,1990,14420,5033,35.58,4.07,24.28,39.73,36.06,2.26,1.4,1.44,1.44,1.15,1.23,2.32,2.68,3.69,6.2,8.53,15.9,15.53,12.21,24.01,101896,2.89,3.63,5233,81.3,18.7,3.82,326532,3.42,5.45,1264,34.66,24.5,17.69,1.72,67.59,,,,,,,,,37.16,6.31,10.59,70.59,,
25017317200,1990,10920,3740,35.07,6.5,25.35,45.51,40.34,1.94,1.57,1.57,1.55,1.38,1.62,1.65,2.14,2.08,3.6,5.66,16.65,15.8,12.81,29.99,112915,2.31,3.71,3792,88.64,11.36,1.37,331523,11.69,10.98,1239,29.83,23.6,14.4,1.64,69.48,,,,,,,,,32.84,4.3,7.4,65.63,,
25017317300,1990,7045,2681,31.73,5.82,25.08,38.3,36.81,0.71,1.84,1.58,1.13,2.71,2.85,1.13,2.71,2.48,5.03,13.6,23.63,14.65,9.2,16.79,87684,2.23,3.34,2787,74.93,25.07,3.95,265218,2.56,4.81,1248,30.67,22.6,16.88,3.86,55.62,,,,,,,,,54.2,6.32,10.68,72.18,,
25017318100,1990,4972,1611,37.63,5.47,23.13,38.92,30.27,0.5,1.18,1.49,2.54,2.23,1.49,1.55,1.05,1.8,5.2,9.67,21.82,16.92,12.34,20.15,98969,1.21,3.72,1705,92.05,7.95,5.51,305500,0,1.56,1271,33.6,25.799999,15.09,3.41,73.77,,,,,,,,,25.57,3.91,6.25,76.56,,
25017318200,1990,3215,1123,35.28,4.12,22.2,34.24,28.07,1.4,2.01,2.27,2.79,2.44,2.97,4.27,3.15,2.09,7.94,7.68,16.23,10.91,10.82,23.04,90474,2.38,1.48,1173,75.8,24.2,3.84,325462,6.96,8.42,1153,26.74,22.9,19.08,4.16,60.15,,,,,,,,,46.98,6.59,10.99,61.17,,
25017318300,1990,5481,1733,37.92,4.02,28.78,53.08,48.55,0.06,0.34,0.63,1.49,0.8,0.52,1.2,1.14,1.2,4.01,5.73,12.21,11.98,13.76,44.78,138914,0.26,2.69,1799,91.19,8.81,3.45,434544,0,2.03,1784,26.35,22.4,20.43,1.13,65.15,,,,,,,,,40.59,4.73,8.11,75,,
25017318400,1990,2732,852,38.65,8.62,21.59,52.02,50.68,0.24,2.4,2.4,2.28,1.56,1.08,2.76,2.28,0.72,3,1.92,12.57,16.29,12.34,37.84,123618,1.21,1.92,865,88.26,11.74,1.5,434544,31,26,426,0,18.299999,22.24,0,61.36,,,,,,,,,43.54,3,6,29,,
